,edit_history_tweet_ids,id,text,withheld
75,['1600686097020747777'],1600686097020747777,My wife surprised me &amp; ordered 5 pints of this Salt &amp; Straw and they all came melted😭😭😭 https://t.co/iRqtnF3xJG,
76,['1600672836762292225'],1600672836762292225,"@OdedRechavi Aaaand almost forgot, but definitely a must-do: ice cream at Salt&amp;Straw (University Ave)",
77,['1600648349954220032'],1600648349954220032,@ShteepyPie Haha I know it’s pretty wild right! It was at a place called Salt &amp; Straw. I visited their Seattle location but I think they’re all over the west coast if you ever find yourself out there :).,
78,['1601745661006749696'],1601745661006749696,they’re playing all of SOS in pine &amp; crane 🥹,
79,['1601407779071176704'],1601407779071176704,@caitiedelaney Mapo tofu from Pine &amp; Crane!,
80,['1603011631356715008'],1603011631356715008,"COVID-19: Los préstamos pandémicos están a punto de vencer, pero algunas empresas no están listas para pagar. Los prestatarios se enfrentan a un repunte más lento de lo esperado y a nuevos desafíos económicos
Milk Jar Cookies de Courtney Cowan ..
https://t.co/5s8YdgLGGs",
81,['1601431667708637185'],1601431667708637185,@MydSound Milk jar cookies really close to @elreytheatre,
82,['1601336342834806785'],1601336342834806785,"'Tis the season for holiday parties galore and who wouldn't be excited to see a box of Milk Jar Cookies at the table?!⁠
⁠
Schedule a pickup or keep your hands free with a local or nationwide delivery before your next gathering https://t.co/OgEjbuWftN https://t.co/8He83Ls56p",
83,['1603162076083806208'],1603162076083806208,"@Ell_somisomi それな！はじめましてレベル笑笑
絶対どっちも顔覚えてない🙂",
84,['1603146467907993600'],1603146467907993600,I wont somisomi 😵‍💫,
85,['1602959737590804480'],1602959737590804480,@Ell_somisomi やばああああああ,
86,['1602838561035677696'],1602838561035677696,"@Ell_somisomi 
タグ反応ありがとうございます💖
もしよかったら繋がりませんか…！！",
87,['1602831824517967872'],1602831824517967872,RT @ChaLatteSan: Somisomi https://t.co/RW0q7UdUsG,
88,['1602811186294448128'],1602811186294448128,RT @ChaLatteSan: Somisomi https://t.co/RW0q7UdUsG,
